Book,Subtitle,Authors,Page Count,Description,Snippet,Publisher
Adventures In The Screen Trade,,['William Goldman'],448,"Now available as an ebook for the first time! No one knows the writer's Hollywood more intimately than William Goldman. Two-time Academy Award-winning screenwriter and the bestselling author of Marathon Man, Tinsel, Boys and Girls Together, and other novels, Goldman now takes you into Hollywood's inner sanctums...on and behind the scenes for Butch Cassidy and the Sundance Kid, All the President's Men, and other films...into the plush offices of Hollywood producers...into the working lives of acting greats such as Redford, Olivier, Newman, and Hoffman...and into his own professional experiences and creative thought processes in the crafting of screenplays. You get a firsthand look at why and how films get made and what elements make a good screenplay. Says columnist Liz Smith, ""You'll be fascinated.",No one knows the writer's Hollywood more intimately than William Goldman.,Hachette UK
Hitch 22,A Memoir,['Christopher Hitchens'],494,"Over the course of his 60 years, Christopher Hitchens has been a citizen of both the United States and the United Kingdom. He has been both a socialist opposed to the war in Vietnam and a supporter of the U.S. war against Islamic extremism in Iraq. He has been both a foreign correspondent in some of the world's most dangerous places and a legendary bon vivant with an unquenchable thirst for alcohol and literature. He is a fervent atheist, raised as a Christian, by a mother whose Jewish heritage was not revealed to him until her suicide. In other words, Christopher Hitchens contains multitudes. He sees all sides of an argument. And he believes the personal is political. This is the story of his life, lived large.","In other words, Christopher Hitchens contains multitudes. He sees all sides of an argument. And he believes the personal is political. This is the story of his life, lived large.",Hachette UK
A Week At The Airport,A Heathrow Diary,['Alain de Botton'],136,"In the summer of 2009, Alain de Botton will be invited by the owners of Heathrow airport to become their first ever Writer in Residence. He will be installed in the middle of Terminal 5 on a raised platform with a laptop connected to screens, enabling passengers to see what he is writing and to come and share their stories. He will meet travellers from around the world, and will be given unprecedented access to wander the airport and speak with everyone from window cleaners and baggage handlers to air traffic controllers and cabin crew. Working with the renowned documentary photographer Richard Baker, de Botton will produce an extraordinary meditation upon the nature of place, time, and our daily lives. He will explore the magical and the mundane, personal and collective experiences and the interactions of travellers and workers all over this familiar but mysterious site. Like all airports, Heathrow (the 15th century village of Heath Row lies beneath the short stay car park) is a 'non-place' that we by definition want to leave, but it also provides a window into many worlds - through the thousands of people it dispatches every day. A Week at the Airport is sure to delight de Botton's large following, and anyone interested in the stories behind the way we live.","A Week at the Airport is sure to delight de Botton's large following, and anyone interested in the stories behind the way we live.",Profile Books
Steve Jobs,,['Walter Isaacson'],672,"Walter Isaacson’s “enthralling” (The New Yorker) worldwide bestselling biography of Apple cofounder Steve Jobs. Based on more than forty interviews with Steve Jobs conducted over two years—as well as interviews with more than 100 family members, friends, adversaries, competitors, and colleagues—Walter Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing. At a time when America is seeking ways to sustain its innovative edge, Jobs stands as the ultimate icon of inventiveness and applied imagination. He knew that the best way to create value in 21st century was to connect creativity with technology. He built a company where leaps of the imagination were combined with remarkable feats of engineering. Although Jobs cooperated with the author, he asked for no control over what was written. He put nothing off-limits. He encouraged the people he knew to speak honestly. And Jobs speaks candidly, sometimes brutally so, about the people he worked with and competed against. His friends, foes, and colleagues provide an unvarnished view of the passions, perfectionism, obsessions, artistry, devilry, and compulsion for control that shaped his approach to business and the innovative products that resulted. Driven by demons, Jobs could drive those around him to fury and despair. But his personality and products were interrelated, just as Apple’s hardware and software tended to be, as if part of an integrated system. His tale is instructive and cautionary, filled with lessons about innovation, character, leadership, and values. Steve Jobs is the inspiration for the movie of the same name starring Michael Fassbender, Kate Winslet, Seth Rogen, and Jeff Daniels, directed by Danny Boyle with a screenplay by Aaron Sorkin.",Walter Isaacson’s “enthralling” (The New Yorker) worldwide bestselling biography of Apple cofounder Steve Jobs.,Simon and Schuster
"The Good, The Bad, And The Multiplex",,['Mark Kermode'],338,"Originally published: London: Random House, 2011.","'The angrier Mark Kermode gets, the funnier he is; good news then that this book is FURIOUS' Empire If blockbusters make money no matter how bad they are, why not make a good one for a change?",Random House
Dandy in the Underworld,An Unauthorised Autobiography,['Sebastian Horsley'],344,"This is the story of Sebastian Horsley's life. It begins with his bizarre and neglected childhood at High Hall, where his alcoholic mother regularly attempted suicide (his drunk, crippled billionaire father moved out when her lover moved in). Searching for happiness, meaning and a good outfit led to his doomed career as a punk guitarist and his reinvention as a millionaire stockbrocker and shark-hunter. Escaping a stormy relationship with Scotland's most notorious mass-murderer (who was also sleeping with his wife), he arrived in the capital. The invites to the party promised, 'Sebastian Comes to Save London'. It charts his years as a dandy, an artist, a visitor of prostitutes, a period as a prostitute and his love affairs with the two Rachels. Then there is his descent into herion and crack additction, his desperate attempts and even more desperate failures to overcome it and his Crucifixion. Finally there is a sense of a man who has found a kind of peace. Painfully honest and completely unflinching, it is written with a refreshing lack of sentimality, a lot of self-knowledge and a gift for entertaining. in writing this book, life and art have come together.",This is the story of Sebastian Horsley's life.,
Caravaggio,,['Michael Fried'],316,"A major reevaluation of Caravaggio from one of today's leading art historians This is a groundbreaking examination of one of the most important artists in the Western tradition by one of the leading art historians and critics of the past half-century. In his first extended consideration of the Italian Baroque painter Michelangelo Merisi da Caravaggio (1573-1610), Michael Fried offers a transformative account of the artist's revolutionary achievement. Based on the A. W. Mellon Lectures in the Fine Arts delivered at the National Gallery of Art, The Moment of Caravaggio displays Fried's unique combination of interpretive brilliance, historical seriousness, and theoretical sophistication, providing sustained and unexpected readings of a wide range of major works, from the early Boy Bitten by a Lizard to the late Martyrdom of Saint Ursula. The result is an electrifying new perspective on a crucial episode in the history of European painting. Focusing on the emergence of the full-blown ""gallery picture"" in Rome during the last decade of the sixteenth century and the first decades of the seventeenth, Fried draws forth an expansive argument, one that leads to a radically revisionist account of Caravaggio's relation to the self-portrait; of the role of extreme violence in his art, as epitomized by scenes of decapitation; and of the deep structure of his epoch-defining realism. Fried also gives considerable attention to the art of Caravaggio's great rival, Annibale Carracci, as well as to the work of Caravaggio's followers, including Orazio and Artemisia Gentileschi, Bartolomeo Manfredi, and Valentin de Boulogne. Please note: All images in this ebook are presented in black and white and have been reduced in size.",A major reevaluation of Caravaggio from one of today's leading art historians This is a groundbreaking examination of one of the most important artists in the Western tradition by one of the leading art historians and critics of the past ...,Princeton University Press
The Chimp Paradox,"The Acclaimed Mind Management Programme to Help You Achieve Success, Confidence and Happiness",['Steve Peters'],370,"""An incredibly powerful mind management model that can help a person become happier, more confident, and a healthier more successful person""--Cover.","""An incredibly powerful mind management model that can help a person become happier, more confident, and a healthier more successful person""--Cover.",Random House
Covenant With Death,Death in the Iron Age II and Its Rhetorical Uses in Proto-Isaiah,['Christopher B. Hays'],466,"Death is one of the major themes in First Isaiah, although it has not generally been recognized as such. In this study Christopher Hays offers fresh interpretations of more than a dozen passages in Isaiah 538 in light of ancient beliefs about death. Hays first summarizes what is known about death in the ancient Near East during the Second Iron Age, covering beliefs and practicesin Mesopotamia, Egypt, Syria-Palestine, and Judah/Israel. He then shows how select passages in the first part of Isaiah employ the rhetorical imagery of death that was part of their cultural context, and he also identifies ways in which those texts break new creative ground. This books holistic approach to questions that have attracted much scholarly attention in recent decades produces new insights not only for the interpretation of specific biblical passages but also for the formation of the book of Isaiah and for the history of ancient Near Eastern religions.",In this work Christopher Hays offers fresh interpretations of more than a dozen passages in Isaiah 5-38 in light of ancient beliefs about death.,Wm. B. Eerdmans Publishing
The Choice Of Hercules,"Pleasure, Duty And The Good Life In The 21st Century",['A.C. Grayling'],192,"Duty or Pleasure? This was the legendary choice which faced Hercules and which pre-eminent philosopher A.C. Grayling uses as the starting point of this masterful book. He shows us how much more people can understand about themselves and their world by reflecting on today's moral challenges. Above all, he explores the idea that certain demands and certain pleasures are necessary, not just because of their intrinsic merits but because of what they do for each other. With exceptional clarity and unrivalled prose, Grayling addresses the everyday ethical choices which confront us all.",Duty or Pleasure? This was the legendary choice which faced Hercules and which pre-eminent philosopher A.C. Grayling uses as the starting point of this masterful book.,Hachette UK
